"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"151","Luke Willson","TE","SEA",21,15,129,170,75,2,8.1,0.76,0.05,0.06,0.13,39.9
"152","Andre Roberts","WR","DET",25,14,188,359,63,1,14.4,0.52,0.08,0.04,0.12,38.8
"153","Kevin White","WR","CHI",36,19,187,412,54,0,11.4,0.45,0.36,0.25,0.63,38.6
"154","Ricardo Louis","WR","CLE",36,18,205,357,87,0,9.9,0.57,0.07,0.07,0.15,38.5
"155","Charone Peake","WR","NYJ",35,19,186,323,71,0,9.2,0.58,0.09,0.09,0.19,37.6
"156","Bennie Fowler","WR","DEN",24,11,145,287,64,2,12,0.51,0.07,0.05,0.13,37.5
"157","Cody Core","WR","CIN",27,17,200,195,118,0,7.2,1.03,0.11,0.11,0.25,37
"158","Jeff Janis","WR","GB",19,11,93,197,30,1,10.4,0.47,0.04,0.03,0.08,36.1
"159","Harry Douglas","WR","TEN",22,15,210,229,50,0,10.4,0.92,0.09,0.08,0.18,36
"160","Josh Hill","TE","NO",22,15,149,123,77,1,5.6,1.21,0.06,0.07,0.14,35.9
"161","Jaron Brown","WR","ARI",23,11,187,291,58,1,12.7,0.64,0.12,0.1,0.24,35.7
"162","Darren Fells","TE","ARI",18,14,154,106,90,1,5.9,1.45,0.03,0.05,0.1,35.4
"163","Demetrius Harris","TE","KC",31,17,123,199,41,1,6.4,0.62,0.06,0.06,0.14,35.3
"164","Tanner McEvoy","WR","SEA",11,9,140,149,30,2,13.5,0.94,0.06,0.04,0.1,35
"165","Xavier Grimble","TE","PIT",21,11,118,144,38,2,6.9,0.82,0.05,0.07,0.14,34.8
"166","Seth DeValve","TE","CLE",13,10,127,131,44,2,10.1,0.97,0.05,0.04,0.1,34.7
"167","Daniel Brown","TE","CHI",20,16,124,133,45,1,6.7,0.93,0.06,0.1,0.19,34.4
"168","Jerell Adams","TE","NYG",21,16,122,132,70,1,6.3,0.92,0.04,0.05,0.11,34.2
"169","A.J. Derby","TE","DEN",20,16,160,135,50,0,6.8,1.19,0.06,0.09,0.18,32
"170","MarQueis Gray","TE","MIA",17,14,174,124,69,0,7.3,1.4,0.05,0.06,0.12,31.4
"171","Braxton Miller","WR","HOU",28,15,99,202,52,1,7.2,0.49,0.06,0.08,0.16,30.9
"172","Darren Waller","TE","BAL",17,10,85,114,39,2,6.7,0.75,0.04,0.04,0.09,30.5
"173","Brent Celek","TE","PHI",19,14,155,118,87,0,6.2,1.31,0.04,0.05,0.11,29.5
"174","Ed Dickson","TE","CAR",19,10,134,209,69,1,11,0.64,0.04,0.04,0.09,29.4
"175","Roger Lewis","WR","NYG",19,7,97,333,4,2,17.5,0.29,0.1,0.05,0.15,28.7
"176","Anthony Fasano","TE","TEN",14,8,83,105,38,2,7.5,0.79,0.03,0.04,0.07,28.3
"177","Walt Powell","WR","BUF",25,14,142,302,45,0,12.1,0.47,0.15,0.12,0.28,28.2
"178","Jaelen Strong","WR","HOU",24,14,131,178,32,0,7.4,0.74,0.09,0.1,0.22,27.1
"179","Stephen Anderson","TE","HOU",16,11,93,102,39,1,6.4,0.91,0.03,0.05,0.1,26.3
"180","Tyler Higbee","TE","LA",29,11,85,203,26,1,7,0.42,0.07,0.07,0.15,25.5
"181","Pharoh Cooper","WR","LA",20,14,106,88,72,0,4.4,1.2,0.04,0.07,0.13,24.6
"182","Brandon Tate","WR","BUF",12,8,117,89,52,0,7.4,1.31,0.02,0.03,0.06,24.5
"183","Jarius Wright","WR","MIN",14,11,67,56,42,1,4,1.2,0.06,0.1,0.19,23.7
"184","Jeff Heuerman","TE","DEN",17,9,141,144,68,0,8.5,0.98,0.08,0.08,0.18,23.1
"185","Neal Sterling","WR","JAC",16,12,110,125,48,0,7.8,0.88,0.07,0.07,0.16,23
"186","Arrelious Benn","WR","JAC",10,5,116,113,53,1,11.3,1.03,0.03,0.02,0.05,22.6
"187","Brittan Golden","WR","ARI",14,8,82,180,12,1,12.9,0.46,0.04,0.03,0.07,22.2
"188","Crockett Gillmore","TE","BAL",14,8,71,92,33,1,6.6,0.77,0.05,0.06,0.13,21.1
"189","Austin Seferian-Jenkins","TE","NYJ",17,10,110,142,28,0,8.4,0.77,0.06,0.07,0.15,21
"190","Rhett Ellison","TE","MIN",14,9,57,42,34,0,3,1.36,0.02,0.03,0.06,20.8
"191","Nick O'Leary","TE","BUF",14,9,114,124,43,0,8.9,0.92,0.03,0.04,0.08,20.4
"192","Tyler Kroft","TE","CIN",12,10,92,92,31,0,7.7,1,0.03,0.04,0.08,19.2
"193","Ryan Grant","WR","WAS",19,9,76,167,25,0,8.8,0.46,0.04,0.04,0.09,16.6
"194","Aaron Burbridge","WR","SF",16,7,88,141,43,0,8.8,0.62,0.04,0.03,0.08,15.8
"195","Alan Cross","TE","TB",10,6,38,42,11,1,4.2,0.9,0.01,0.02,0.04,15.8
"196","Cody Latimer","WR","DEN",15,8,76,190,24,0,12.7,0.4,0.06,0.04,0.1,15.6
"197","Tommylee Lewis","WR","NO",11,7,75,75,20,0,6.8,1,0.02,0.02,0.05,15.6
